"id_all";"T0020_nFK";"T2040_nFK";"T4060_nFK";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input"
4;84.39;91.81;92.1;36;13.55;13.55;12.3;15.1;91.07;85;96.8;1547.03;0.67;15.09;15.09;323.76;216.12;162628.65;40.6;508.77;273.3;20;30;50;1.2;2.84376923076923;16.7384615384615;4
4;95.29;91.49;92.07;37;14.16;14.16;8.9;19;72.26;46.9;89.2;4529.52;1.27;15.14;15.14;337.92;230.28;167158.17;40.6;523.91;288.44;20;30;50;1.2;2.97138461538462;17.2392307692308;0
4;89.51;90.82;91.95;38;12.87;12.87;5.7;19.9;72;42.4;95.6;5750.65;1.12;15.19;15.19;350.79;243.16;172908.83;40.6;539.1;303.63;20;30;50;1.2;3.07875;17.52125;0
5;113.8;109.03;88.15;25;7.62;0;0.8;12;68.89;51.8;91.4;3382.18;0.89;14.52;0;205.36;128.58;118583.68;24;345.58;169.31;20;30;50;1.2;1.41;11.57;0
5;109.38;108.58;88.62;26;10.02;10.02;2.8;14.8;61.07;37.9;89.8;4033.68;1.44;14.57;14.57;215.38;138.59;122617.35;24;360.15;183.88;20;30;50;1.2;1.52953846153846;11.9940384615385;0
5;105.9;107.18;89.18;27;9.27;9.27;3.3;13.4;55.6;37.7;76;5607.25;2.7;14.63;14.63;224.65;147.86;128224.6;24;374.78;198.51;20;30;50;1.2;1.64907692307692;12.4180769230769;0
5;103.5;106.42;89.78;28;8.34;0;-0.2;14.7;60.97;37.2;90.8;4732.32;1.1;14.68;0;232.99;147.86;132956.92;24;389.46;198.51;20;30;50;1.2;1.76861538461538;12.8421153846154;0
5;101.62;105.76;90.36;29;9.79;9.79;4.8;14;67.73;47.4;83;2193.3;2.94;14.73;14.73;242.78;157.65;135150.22;24.1;404.19;213.24;20;30;50;1.2;1.88815384615385;13.2661538461538;5.66
5;104.65;104.25;90.64;30;7.31;0;3.4;12.2;72.19;45.5;89.8;4149.88;2.23;14.79;0;250.09;157.65;139300.1;25.7;418.98;213.24;20;30;50;1.2;2.00769230769231;13.6901923076923;1.6
5;104.48;103.95;90.95;31;6.86;0;2;11.9;81.79;57;93.5;2475.72;1.11;14.84;0;256.94;157.65;141775.83;29.4;433.82;213.24;20;30;50;1.2;2.12723076923077;14.1142307692308;3.7
5;108.32;103.5;91.12;32;8.35;0;3.8;13.3;65.74;39.4;89.8;5855.15;1.96;14.89;0;265.29;157.65;147630.98;29.4;448.71;213.24;20;30;50;1.2;2.24676923076923;14.5382692307692;0
5;103.56;103.83;91.38;33;10.29;10.29;0.4;18.3;62.8;42.1;89.4;5233.9;1.12;14.94;14.94;275.58;167.94;152864.88;29.4;463.65;228.18;20;30;50;1.2;2.36630769230769;14.9623076923077;0
5;100.6;103.96;91.64;34;18.3;18.3;6.5;28.6;57.11;31.3;89.3;6701.18;1.38;14.99;14.99;293.87;186.24;159566.05;29.4;478.64;243.17;20;30;50;1.2;2.48584615384615;15.3863461538462;0
5;96.19;102.54;91.74;35;16.34;16.34;13;20.2;75.5;54.4;95.6;1515.58;1.21;15.04;15.04;310.21;202.57;161081.62;36.6;493.68;258.21;20;30;50;1.2;2.60538461538462;15.8103846153846;7.2
5;103.11;101.17;91.74;36;13.55;13.55;12.3;15.1;91.07;85;96.8;1547.03;0.67;15.09;15.09;323.76;216.12;162628.65;40.6;508.77;273.3;20;30;50;1.2;2.72492307692308;16.2344230769231;4
5;110.45;100.94;91.69;37;14.16;14.16;8.9;19;72.26;46.9;89.2;4529.52;1.27;15.14;15.14;337.92;230.28;167158.17;40.6;523.91;288.44;20;30;50;1.2;2.84446153846154;16.6584615384615;0
5;102.26;100.8;91.69;38;12.87;12.87;5.7;19.9;72;42.4;95.6;5750.65;1.12;15.19;15.19;350.79;243.16;172908.83;40.6;539.1;303.63;20;30;50;1.2;2.9525;16.92875;0
6;115.23;116.68;96.3;25;7.62;0;0.8;12;68.89;51.8;91.4;3382.18;0.89;14.52;0;205.36;128.58;118583.68;24;345.58;169.31;20;30;50;1.2;1.43;11.32;0
6;110.74;112.71;97.94;26;10.02;10.02;2.8;14.8;61.07;37.9;89.8;4033.68;1.44;14.57;14.57;215.38;138.59;122617.35;24;360.15;183.88;20;30;50;1.2;1.55034615384615;11.7650384615385;0
6;107.43;110.15;99.11;27;9.27;9.27;3.3;13.4;55.6;37.7;76;5607.25;2.7;14.63;14.63;224.65;147.86;128224.6;24;374.78;198.51;20;30;50;1.2;1.67069230769231;12.2100769230769;0
6;105.41;108.99;99.88;28;8.34;0;-0.2;14.7;60.97;37.2;90.8;4732.32;1.1;14.68;0;232.99;147.86;132956.92;24;389.46;198.51;20;30;50;1.2;1.79103846153846;12.6551153846154;0
6;103.46;107.96;100.33;29;9.79;9.79;4.8;14;67.73;47.4;83;2193.3;2.94;14.73;14.73;242.78;157.65;135150.22;24.1;404.19;213.24;20;30;50;1.2;1.91138461538462;13.1001538461538;5.41
6;103.92;106.44;100.44;30;7.31;0;3.4;12.2;72.19;45.5;89.8;4149.88;2.23;14.79;0;250.09;157.65;139300.1;25.7;418.98;213.24;20;30;50;1.2;2.03173076923077;13.5451923076923;1.6
6;104.25;105.68;100.58;31;6.86;0;2;11.9;81.79;57;93.5;2475.72;1.11;14.84;0;256.94;157.65;141775.83;29.4;433.82;213.24;20;30;50;1.2;2.15207692307692;13.9902307692308;3.7
6;106.7;104.96;100.52;32;8.35;0;3.8;13.3;65.74;39.4;89.8;5855.15;1.96;14.89;0;265.29;157.65;147630.98;29.4;448.71;213.24;20;30;50;1.2;2.27242307692308;14.4352692307692;0
6;103.66;104.6;100.44;33;10.29;10.29;0.4;18.3;62.8;42.1;89.4;5233.9;1.12;14.94;14.94;275.58;167.94;152864.88;29.4;463.65;228.18;20;30;50;1.2;2.39276923076923;14.8803076923077;0
6;100.01;104.13;100.34;34;18.3;18.3;6.5;28.6;57.11;31.3;89.3;6701.18;1.38;14.99;14.99;293.87;186.24;159566.05;29.4;478.64;243.17;20;30;50;1.2;2.51311538461538;15.3253461538462;0
6;94.42;102.93;100.26;35;16.34;16.34;13;20.2;75.5;54.4;95.6;1515.58;1.21;15.04;15.04;310.21;202.57;161081.62;36.6;493.68;258.21;20;30;50;1.2;2.63346153846154;15.7703846153846;7.2
6;97.06;101.51;100.18;36;13.55;13.55;12.3;15.1;91.07;85;96.8;1547.03;0.67;15.09;15.09;323.76;216.12;162628.65;40.6;508.77;273.3;20;30;50;1.2;2.75380769230769;16.2154230769231;4
6;106.1;100.78;99.91;37;14.16;14.16;8.9;19;72.26;46.9;89.2;4529.52;1.27;15.14;15.14;337.92;230.28;167158.17;40.6;523.91;288.44;20;30;50;1.2;2.87415384615385;16.6604615384615;0
6;99.46;99.8;99.67;38;12.87;12.87;5.7;19.9;72;42.4;95.6;5750.65;1.12;15.19;15.19;350.79;243.16;172908.83;40.6;539.1;303.63;20;30;50;1.2;3;17.025;0
7;114.19;116.85;95.66;25;7.62;0;0.8;12;68.89;51.8;91.4;3382.18;0.89;14.52;0;205.36;128.58;118583.68;24;345.58;169.31;20;30;50;1.2;1.16;10.51;0
7;109.73;113.58;97.18;26;10.02;10.02;2.8;14.8;61.07;37.9;89.8;4033.68;1.44;14.57;14.57;215.38;138.59;122617.35;24;360.15;183.88;20;30;50;1.2;1.30215384615385;11.0261153846154;0
7;106.72;110.61;98.22;27;9.27;9.27;3.3;13.4;55.6;37.7;76;5607.25;2.7;14.63;14.63;224.65;147.86;128224.6;24;374.78;198.51;20;30;50;1.2;1.44430769230769;11.5422307692308;0
7;104.18;108.84;98.87;28;8.34;0;-0.2;14.7;60.97;37.2;90.8;4732.32;1.1;14.68;0;232.99;147.86;132956.92;24;389.46;198.51;20;30;50;1.2;1.58646153846154;12.0583461538462;0
7;102.05;107.21;99.21;29;9.79;9.79;4.8;14;67.73;47.4;83;2193.3;2.94;14.73;14.73;242.78;157.65;135150.22;24.1;404.19;213.24;20;30;50;1.2;1.72861538461538;12.5744615384615;5.78
7;102.81;105.54;99.3;30;7.31;0;3.4;12.2;72.19;45.5;89.8;4149.88;2.23;14.79;0;250.09;157.65;139300.1;25.7;418.98;213.24;20;30;50;1.2;1.87076923076923;13.0905769230769;1.6
7;103.02;104.87;99.27;31;6.86;0;2;11.9;81.79;57;93.5;2475.72;1.11;14.84;0;256.94;157.65;141775.83;29.4;433.82;213.24;20;30;50;1.2;2.01292307692308;13.6066923076923;3.7
7;105.85;104.45;99.22;32;8.35;0;3.8;13.3;65.74;39.4;89.8;5855.15;1.96;14.89;0;265.29;157.65;147630.98;29.4;448.71;213.24;20;30;50;1.2;2.15507692307692;14.1228076923077;0
7;102.87;104.66;99.14;33;10.29;10.29;0.4;18.3;62.8;42.1;89.4;5233.9;1.12;14.94;14.94;275.58;167.94;152864.88;29.4;463.65;228.18;20;30;50;1.2;2.29723076923077;14.6389230769231;0
7;99.16;104.18;99.19;34;18.3;18.3;6.5;28.6;57.11;31.3;89.3;6701.18;1.38;14.99;14.99;293.87;186.24;159566.05;29.4;478.64;243.17;20;30;50;1.2;2.43938461538462;15.1550384615385;0
7;93.46;102.28;99.26;35;16.34;16.34;13;20.2;75.5;54.4;95.6;1515.58;1.21;15.04;15.04;310.21;202.57;161081.62;36.6;493.68;258.21;20;30;50;1.2;2.58153846153846;15.6711538461538;7.2
7;96.2;100.4;99.26;36;13.55;13.55;12.3;15.1;91.07;85;96.8;1547.03;0.67;15.09;15.09;323.76;216.12;162628.65;40.6;508.77;273.3;20;30;50;1.2;2.72369230769231;16.1872692307692;4
7;104.58;100.08;99.04;37;14.16;14.16;8.9;19;72.26;46.9;89.2;4529.52;1.27;15.14;15.14;337.92;230.28;167158.17;40.6;523.91;288.44;20;30;50;1.2;2.86584615384615;16.7033846153846;0
7;98.04;99.88;98.8;38;12.87;12.87;5.7;19.9;72;42.4;95.6;5750.65;1.12;15.19;15.19;350.79;243.16;172908.83;40.6;539.1;303.63;20;30;50;1.2;2.98625;17.04375;0
8;118.49;122.59;95.89;25;7.62;0;0.8;12;68.89;51.8;91.4;3382.18;0.89;14.52;0;205.36;128.58;118583.68;24;345.58;169.31;20;30;50;1.2;1.29;11.02;0
8;113.64;120.04;96.4;26;10.02;10.02;2.8;14.8;61.07;37.9;89.8;4033.68;1.44;14.57;14.57;215.38;138.59;122617.35;24;360.15;183.88;20;30;50;1.2;1.41438461538462;11.4876538461538;0
8;110.56;118.18;96.96;27;9.27;9.27;3.3;13.4;55.6;37.7;76;5607.25;2.7;14.63;14.63;224.65;147.86;128224.6;24;374.78;198.51;20;30;50;1.2;1.53876923076923;11.9553076923077;0
8;108.64;115.46;97.58;28;8.34;0;-0.2;14.7;60.97;37.2;90.8;4732.32;1.1;14.68;0;232.99;147.86;132956.92;24;389.46;198.51;20;30;50;1.2;1.66315384615385;12.4229615384615;0
8;106.65;113.45;98.1;29;9.79;9.79;4.8;14;67.73;47.4;83;2193.3;2.94;14.73;14.73;242.78;157.65;135150.22;24.1;404.19;213.24;20;30;50;1.2;1.78753846153846;12.8906153846154;5.43
8;106.8;111.55;98.29;30;7.31;0;3.4;12.2;72.19;45.5;89.8;4149.88;2.23;14.79;0;250.09;157.65;139300.1;25.7;418.98;213.24;20;30;50;1.2;1.91192307692308;13.3582692307692;1.6
8;106.91;110.35;98.41;31;6.86;0;2;11.9;81.79;57;93.5;2475.72;1.11;14.84;0;256.94;157.65;141775.83;29.4;433.82;213.24;20;30;50;1.2;2.03630769230769;13.8259230769231;3.7
8;109.59;109.27;98.33;32;8.35;0;3.8;13.3;65.74;39.4;89.8;5855.15;1.96;14.89;0;265.29;157.65;147630.98;29.4;448.71;213.24;20;30;50;1.2;2.16069230769231;14.2935769230769;0
8;106.01;108.76;98.41;33;10.29;10.29;0.4;18.3;62.8;42.1;89.4;5233.9;1.12;14.94;14.94;275.58;167.94;152864.88;29.4;463.65;228.18;20;30;50;1.2;2.28507692307692;14.7612307692308;0
8;100.9;108.31;98.57;34;18.3;18.3;6.5;28.6;57.11;31.3;89.3;6701.18;1.38;14.99;14.99;293.87;186.24;159566.05;29.4;478.64;243.17;20;30;50;1.2;2.40946153846154;15.2288846153846;0
8;93.14;107.12;98.6;35;16.34;16.34;13;20.2;75.5;54.4;95.6;1515.58;1.21;15.04;15.04;310.21;202.57;161081.62;36.6;493.68;258.21;20;30;50;1.2;2.53384615384615;15.6965384615385;7.2
8;98.62;105.76;98.55;36;13.55;13.55;12.3;15.1;91.07;85;96.8;1547.03;0.67;15.09;15.09;323.76;216.12;162628.65;40.6;508.77;273.3;20;30;50;1.2;2.65823076923077;16.1641923076923;4
8;108.58;104.58;98.33;37;14.16;14.16;8.9;19;72.26;46.9;89.2;4529.52;1.27;15.14;15.14;337.92;230.28;167158.17;40.6;523.91;288.44;20;30;50;1.2;2.78261538461538;16.6318461538462;0
8;99.82;103.37;98.4;38;12.87;12.87;5.7;19.9;72;42.4;95.6;5750.65;1.12;15.19;15.19;350.79;243.16;172908.83;40.6;539.1;303.63;20;30;50;1.2;2.905;16.92875;0
