"satz_id";"variante_H2O";"wiederholung";"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_nFK_Vortag";"T2040_nFK_Vortag";"T4060_nFK_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input";"wasser_input_Vortag"
2;"Wfull";"a";56.48;76.01;87.38;63.08;80.88;89.02;44;17.25;17.25;6.8;27.7;60.64;31;93.8;5511.1;0.69;12.95;12.95;938.17;926.27;212527.83;46;624.47;624.47;20;30;50;1.2;4.10933556556804;24.1434092610712;18.8;0
2;"Wfull";"a";66.12;72.41;85.72;56.48;76.01;87.38;45;19.18;19.18;10.1;26.7;68.12;47.3;91.2;4483.5;0.87;12.89;12.89;957.35;945.46;217011.33;46;637.36;637.36;20;30;50;1.2;4.11127951117198;24.2845958859868;0;18.8
2;"Wfull";"a";83.14;70.72;85.16;66.12;72.41;85.72;46;20.12;20.12;16.7;25;63.91;45.5;82.5;4313.88;1.03;12.83;12.83;977.47;965.58;221325.2;46;650.19;650.19;20;30;50;1.2;4.11286303696966;24.4188036753208;0;0
2;"Wred";"b";102.3;99.71;100.62;NA;NA;NA;4;22.54;22.54;12.1;31.3;48.06;25.2;83.7;7475.7;0.89;15.19;15.19;87.77;87.77;26398.03;0;61.04;61.04;20;30;50;1.2;0.222565019074796;11.0718402673464;9;0
2;"Wred";"b";105.05;99.87;99.55;102.3;99.71;100.62;5;25.26;25;13.4;35.3;46.55;25.6;77.8;7472.48;0.78;15.14;15.14;113.04;112.77;33870.5;0;76.18;76.18;20;30;50;1.2;0.27805034245576;11.514878949033;0.5;9
2;"Wred";"b";101.09;99.97;99.43;105.05;99.87;99.55;6;24.81;24.81;15.9;33.2;59.9;39.7;83.5;3696.62;0.78;15.09;15.09;137.85;137.59;37567.12;0.1;91.27;91.27;20;30;50;1.2;0.345891635105408;11.9608035147091;9.1;0.5
2;"Wred";"b";113.89;101.86;99.71;101.09;99.97;99.43;7;23.05;23.05;17.5;28.4;61.7;38.4;88.1;5390.23;1.77;15.05;15.05;160.9;160.64;42957.35;6.2;106.32;106.32;20;30;50;1.2;0.428199363111689;12.4089151618977;6.1;9.1
2;"Wred";"b";106.34;104.61;100.35;113.89;101.86;99.71;8;19.57;19.57;16.6;24.7;62.77;38.6;79;3261.4;1.44;15;15;180.47;180.21;46218.75;6.2;121.32;121.32;20;30;50;1.2;0.526996459185932;12.8579098708911;0;6.1
2;"Wred";"b";102.47;103.25;101.51;106.34;104.61;100.35;9;19.96;19.96;14.9;26.7;55.62;36.2;77;5479.02;1.49;14.95;14.95;200.43;200.17;51697.78;6.2;136.27;136.27;20;30;50;1.2;0.644183204397367;13.3067764647802;0;0
2;"Wred";"b";100.2;102.02;101.9;102.47;103.25;101.51;10;20.43;20.43;10.4;28.4;52.58;28.4;84;7145.05;0.88;14.9;14.9;220.86;220.6;58842.82;6.2;151.17;151.17;20;30;50;1.2;0.781263194327629;13.7545115302394;4.8;0
2;"Wred";"b";99.2;101.04;102.05;100.2;102.02;101.9;11;22.59;22.59;12.2;31.1;53.49;33.3;84.5;7203;0.91;14.84;14.84;243.45;243.18;66045.82;6.2;166.01;166.01;20;30;50;1.2;0.938946829310902;14.1998286462465;0;4.8
2;"Wred";"b";98.34;100.56;102.18;99.2;101.04;102.05;12;25.39;25;14.4;34.5;52.22;30.1;86.8;7013.95;0.89;14.79;14.79;268.84;268.18;73059.77;6.2;180.8;180.8;20;30;50;1.2;1.11716369346319;14.6420686213203;9.3;0
2;"Wred";"b";102.44;100.29;102.18;98.34;100.56;102.18;13;27.41;25;17.1;36.4;51.94;28.9;84.7;6830.08;0.68;14.74;14.74;296.25;293.18;79889.85;6.2;195.54;195.54;20;30;50;1.2;1.31452084482056;15.0803048367027;0;9.3
2;"Wred";"b";100.24;100.26;101.91;102.44;100.29;102.18;14;27.81;25;17.9;37.1;50.07;26.4;79.1;6438.02;1.11;14.69;14.69;324.06;318.18;86327.88;6.2;210.23;210.23;20;30;50;1.2;1.52823805127919;15.5136510126561;0;0
2;"Wred";"b";96.1;99.73;101.86;100.24;100.26;101.91;15;27.31;25;21.5;34.8;53.54;32.8;73.7;4166.65;0.86;14.63;14.63;351.37;343.18;90494.52;6.2;224.86;224.86;20;30;50;1.2;1.75402029430466;15.9409772766785;0;0
2;"Wred";"b";92.05;98.66;101.47;96.1;99.73;101.86;16;26.91;25;20.6;35.5;59.86;34;82.7;4299.68;1.11;14.58;14.58;378.27;368.18;94794.2;6.4;239.44;239.44;20;30;50;1.2;1.98677374148888;16.3617946216891;9.2;0
