"Datum";"Tmax";"Tmin";"Tmean";"RF";"Glob";"P";"RHmin";"V2";"FAO56";"Tage_seit_Aussaat";"bewaesserung_mm";"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_mm";"T2040_mm";"T4060_mm";"freier_Speicher_T0020_mm";"freier_Speicher_T2040_mm";"freier_Speicher_T4060_mm";"T0060_mm";"wasserinput_mm";"freier_Speicher_T0060_mm";"wasserinput_vortag";"wasserinput_vortag_cumsum";"T0060_mm_ohne_input";"freier_Speicher_T0060_mm_ohne_input";"wasser_diff";"T0060_mm_ohne_input_smooth";"kumulierter_Wasserverbrauch";"tempsum";"kumulierter_Wasserverbrauch_smooth";"taeglicher_wasserverbrauch";"kumulierter_Wasserverbrauch_sigmoid_tempsum";"kumulierter_Wasserverbrauch_sigmoid_tage";"tempsum_diff";"taeglicher_wasserverbrauch_sigmoid_tempsum";"taeglicher_wasserverbrauch_sigmoid";"taeglicher_wasserverbrauch_smooth"
2021-05-09;28.6;6.5;18.2958333333333;57.1052083333333;24.12423;0;31.3;1.37916666666667;4.5;34;0;90.52;94.55;93.62;29.7509066666667;29.0583666666667;29.77116;3.11576;1.67496666666667;2.02884;88.5804333333333;0;6.81956666666667;0;40.30125;48.2791833333333;47.1208166666667;-1.41982;46.36999;42.50631;237.59375;44.4335796;2.56123493333334;42.4009579515888;44.5527502350509;18.2958333333333;0.264055045747023;3.11735014828285;2.64961930666667
2021-05-10;20.2;13;16.3385416666667;75.4979166666667;5.45607;7.2;54.4;1.20520833333333;1.6;35;0;83.45;93.17;93.58;27.4272333333333;28.6342466666667;29.75844;5.43943333333333;2.09908666666666;2.04156;85.81992;7.2;9.58007999999999;0;40.30125;45.51867;49.88133;-2.76051333333331;43.861626;45.2668233333333;253.932291666666;47.1329534666666;2.69937386666666;46.9570016644607;47.7891352819323;16.3385416666667;0.278852531995988;3.23638504688135;2.74623381333333
2021-05-11;15.1;12.3;13.5479166666667;91.0666666666667;5.56929;4;85;0.672916666666667;1.2;36;0;85.1;91.88;93.48;27.9695333333333;28.2377866666667;29.72664;4.89713333333333;2.49554666666667;2.07336;85.93396;4;9.46604;7.2;47.50125;38.43271;56.96729;-7.08595999999999;40.9855766666667;52.3527833333333;267.480208333333;50.1389332;3.00597973333334;50.8761773580286;51.1326310029561;13.5479166666667;0.289282536200614;3.3434957210238;2.90737338666667
2021-05-12;19;8.9;14.1583333333333;72.2635416666667;16.30629;0;46.9;1.26875;2.7;37;0;94.45;91.58;93.37;31.0425666666667;28.1455866666667;29.69166;1.8241;2.58774666666667;2.10834;88.8798133333333;0;6.52018666666667;4;51.50125;37.3785633333333;58.0214366666667;-1.0541466666667;37.7118673333333;53.40693;281.638541666666;53.1201958666667;2.98126266666667;55.0754233427663;54.5692935940136;14.1583333333333;0.296591829410545;3.43666259105754;3.11170384
2021-05-13;19.9;5.7;12.8739583333333;71.9979166666667;20.70234;0;42.4;1.12395833333333;3.1;38;0;88.84;90.96;93.29;29.1987466666667;27.95504;29.66622;3.66792;2.77829333333333;2.13378;86.8200066666667;0;8.57999333333333;0;51.50125;35.3187566666667;60.0812433333333;-2.0598066666666;34.3037406666667;55.4667366666667;294.5125;56.4092116;3.28901573333334;58.9550595531697;58.0833383596717;12.8739583333333;0.301355349299076;3.5140447656581;3.3215448
2021-05-14;19.3;7.1;13.05;68.9322916666667;19.54224;0.3;45;1.01666666666667;3;39;0;80.4;89;93.19;26.4248;27.3526666666667;29.63442;6.44186666666667;3.38066666666667;2.16558;83.4118866666667;0.3;11.9881133333333;0;51.50125;31.9106366666667;63.4893633333333;-3.40812;31.4636766666667;58.8748566666667;307.5625;59.9920988;3.58288719999999;62.9161236263197;61.6573920591906;13.05;0.303529814034489;3.57405369951887;3.50341882666666
2021-05-15;14.9;9.2;11.8989583333333;75.4302083333333;11.48112;2;56.3;1.54375;2.1;40;0;73.4;86.5;92.99;24.1241333333333;26.5843333333333;29.57082;8.74253333333333;4.149;2.22918;80.2792866666667;2;15.1207133333333;0.3;51.80125;28.4780366666667;66.9219633333333;-3.4326;27.4165473333334;62.3074566666667;319.461458333333;63.7406774666666;3.74857866666666;66.5260587135953;65.2728123684255;11.8989583333333;0.303382446273706;3.61542030923489;3.73792469333333
2021-05-16;18.6;6.9;11.684375;80.2270833333333;17.28783;6.6;47.3;1.35208333333333;2.6;41;0;68.96;84.2;92.74;22.6648533333333;25.8774666666667;29.49132;10.2018133333333;4.85586666666666;2.30868;78.03364;6.6;17.36636;2;53.80125;24.23239;71.16761;-4.2456466666667;23.0711406666667;66.5531033333333;331.145833333333;67.6560273333333;3.91534986666665;70.045331104237;68.9100632231747;11.684375;0.301194748597309;3.63725085474928;3.89552213333333
2021-05-17;16.4;8.8;11.9322916666667;80.6833333333333;13.67226;4.7;62.9;1.575;2.2;42;0;69.38;82.51;92.4;22.8028933333333;25.3580733333333;29.3832;10.0637733333333;5.37526;2.4168;77.5441666666667;4.7;17.8558333333333;6.6;60.40125;17.1429166666667;78.2570833333333;-7.0894733333333;18.968974;73.6425766666666;343.078125;71.8098193333333;4.15379200000001;73.5900910641262;72.5491306830083;11.9322916666667;0.297072855651999;3.63906745983354;3.96498453333333
2021-05-18;16.5;8.1;11.671875;77.496875;16.16391;0.8;57.3;1.54791666666667;2.5;43;0;74.22;81.31;92.17;24.39364;24.9892733333333;29.31006;8.47302666666667;5.74406;2.48994;78.6929733333333;0.8;16.7070266666667;4.7;65.10125;13.5917233333333;81.8082766666667;-3.55119333333341;14.7269913333333;77.19377;354.75;75.8868222666666;4.07700293333333;76.9882424100035;76.1699608479029;11.671875;0.291140142083199;3.62083016489458;3.97652106666667
2021-05-19;17.6;5.6;11.7479166666667;73.7135416666667;20.99673;1.5;47.3;1.428125;3;44;0;71.92;79.52;91.9;23.6377066666667;24.4391466666667;29.2242;9.22896;6.29418666666666;2.5758;77.3010533333333;1.5;18.0989466666667;0.8;65.90125;11.3998033333333;84.0001966666667;-2.19192;10.6947166666667;79.38569;366.497916666666;79.8170214666666;3.9301992;80.3199224711891;79.7528996309846;11.7479166666667;0.283597522498505;3.58293878308169;3.91136922666667
2021-05-20;17.7;8.1;13.18125;68.8416666666667;15.60726;0;48.9;1.0125;2.6;45;0;66.32;77.37;91.49;21.7971733333333;23.77838;29.09382;11.0694933333333;6.95495333333333;2.70618;74.6693733333333;0;20.7306266666666;1.5;67.40125;7.26812333333329;88.1318766666666;-4.13168;7.03153266666665;83.51737;379.679166666666;83.6232828;3.80626133333334;83.9309165039551;83.2791140439571;13.18125;0.273949286506666;3.52621441297254;3.75786533333334
2021-05-21;18.1;8.6;13.8739583333333;62.9541666666667;18.9486;2.7;41.3;2.06354166666667;3.3;46;0;60.4;73.65;91.15;19.8514666666667;22.6351;28.9857;13.0152;8.09823333333333;2.8143;71.4722666666667;2.7;23.9277333333333;0;67.40125;4.07101666666669;91.3289833333333;-3.1971066666666;3.42014466666666;86.7144766666666;393.553125;87.2128734666667;3.58959066666668;87.5644673109226;86.7309761049153;13.8739583333333;0.261897197589071;3.45186206095821;3.56472698666668
2021-05-22;16.9;8.5;12.2260416666667;69.9635416666667;16.97445;1.2;49.5;2.465625;2.9;47;0;56.55;70.1;90.56;18.5861;21.5440666666667;28.79808;14.2805666666667;9.18926666666667;3.00192;68.9282466666667;1.2;26.4717533333334;2.7;70.10125;-1.17300333333331;96.5730033333334;-5.24402000000001;-0.06233266666666;91.9584966666667;405.779166666666;90.599146;3.38627253333334;90.6090811024528;90.0923933587125;12.2260416666667;0.249026943841606;3.36141725379717;3.35578906666668
2021-05-23;17.6;7.5;12.196875;67.025;17.63298;0;43.8;1.86041666666667;3;48;0;54.46;66.2;89.91;17.8991866666667;20.3454666666667;28.59138;14.96748;10.3878666666667;3.20862;66.8360333333333;0;28.5639666666667;1.2;71.30125;-4.46521666666669;99.8652166666667;-3.29221333333338;-3.22096199999998;95.25071;417.976041666666;93.7104572;3.11131120000003;93.4891587453934;93.3490739739944;12.196875;0.236132422685368;3.25668061528195;3.13744677333335
2021-05-24;20.2;5;11.8604166666667;73.578125;17.63442;1.5;35.9;1.3;2.8;49;0;53.31;63.14;89.19;17.52122;19.4050266666667;28.36242;15.3454466666667;11.3283066666667;3.43758;65.2886666666667;1.5;30.1113333333334;0;71.30125;-6.0125833333333;101.412583333333;-1.5473666666666;-6.23664599999998;96.7980766666667;429.836458333333;96.5959668;2.88550960000001;96.1327222503721;96.4887190070926;11.8604166666667;0.222889598171397;3.13964503309822;2.91600464000001
2021-05-25;14.7;8.3;10.3177083333333;77.5020833333333;9.01053;2.2;55;2.25833333333333;1.9;50;0;52.65;61.4;88.37;17.3043;18.8702666666667;28.10166;15.5623666666667;11.8630666666667;3.69834;64.2762266666667;2.2;31.1237733333334;1.5;72.80125;-8.52502333333329;103.925023333333;-2.51244;NA;99.3105166666667;440.154166666666;99.3105166666667;2.71454986666667;98.3036011342818;99.5011392200815;10.3177083333333;0.210403203286559;3.01242021298884;NA
2021-05-26;14.6;6.9;10.678125;84.3083333333333;10.35504;5.3;61.8;1.309375;1.7;51;0;52.5;61.19;87.84;17.255;18.8057266666667;27.93312;15.6116666666667;11.9276066666667;3.86688;63.9938466666667;5.3;31.4061533333334;2.2;75.00125;-11.0074033333333;106.407403333333;-2.48238000000001;NA;101.792896666667;450.832291666666;101.792896666667;2.48238000000001;100.423082222304;102.378298355481;10.678125;0.198488132328638;2.87715913539917;NA
