T0020_nFK;T2040_nFK;T4060_nFK;Tmean_gradC;Tmin_gradC;Tmax_gradC;relLuftfeuchte_mean_prozent;relLuftfeuchte_min_prozent;relLuftfeuchte_max_prozent;globalstrahlung_Wh_m2;windgeschwindigkeit_m_s;niederschlag_mm_sum;wasser_input_Vortag;T0020_nFK_Vortag;T2040_nFK_Vortag;T4060_nFK_Vortag;tage_seit_aussaat;Tmean_th9_25_gradC;ibi;irmi
99.33;107.935;108.7725;19.42;12.3;26.1;74.85;47.5;95.9;6242.45;0.89;7.5;1.1;102.8325;110.655;111.18;27;19.42;2.49567919195428;17.1571149470675
94.4525;106.3025;107.5875;19.05;15;24.7;78.22;52.8;95.3;4810.6;0.66;0.1;7.5;99.33;107.935;108.7725;28;19.05;2.74992139812298;17.5984451388076
96.23;104.6475;106.32;20.16;13.2;26.2;75.66;54.4;96.2;4545.45;0.87;0.7;0.1;94.4525;106.3025;107.5875;29;20.16;2.97162346816732;17.9804603814523
87.9975;103.1575;105.4175;18.66;16.2;21.2;92.1;85;96.2;1363.9;0.85;14.6;0.7;96.23;104.6475;106.32;30;18.66;3.15176270488408;18.3029540106711
122.635;104.745;104.5125;16.83;15.1;18.4;90.05;82;94.9;952.8;0.9;3.9;14.6;87.9975;103.1575;105.4175;31;16.83;3.28267688931569;18.563531975308
123.1275;119.9425;104.9;19.45;16;24.9;81.01;57.7;96.1;4969.77;0.79;1.4;3.9;122.635;104.745;104.5125;32;19.45;3.36115040439853;18.7649462499102
111.6675;117.4;109.3075;19.18;15.9;22.3;84.36;71.6;95.4;5308.62;2.27;5.2;1.4;123.1275;119.9425;104.9;33;19.18;3.38963551546421;18.9184792443703
110.7175;114.125;109.4875;20.43;15.7;25.9;78.54;63.7;91.8;5530.25;1.74;0;5.2;111.6675;117.4;109.3075;34;20.43;3.45772909508242;19.0654514311903
102.29;109.035;108.4025;22.52;15.1;29;66;47.5;90.9;7853.45;1.7;0;0;110.7175;114.125;109.4875;35;22.52;3.51334621255622;19.2265758991561
89.1925;104.79;106.47;21.23;15.8;26.3;66.47;49.1;87.7;6665.98;1.63;0;0;102.29;109.035;108.4025;36;21.23;3.55794508824509;19.4247258318053
75.5825;100.36;105.185;19.24;11.7;26.2;67.56;44.4;93.8;7032.27;0.93;0;0;89.1925;104.79;106.47;37;19.24;3.59346256017859;19.6853070958265
63.855;95.985;103.515;19.41;11.4;26.4;63.6;41.8;90.2;7672;1.05;0;4.6225;75.5825;100.36;105.185;38;19.41;3.62496597099354;19.9932926258545
56.79;90.9575;102.005;20.04;12.1;27.2;66.19;44.2;92;6946.92;0.9;0;0;63.855;95.985;103.515;39;20.04;3.65982811980622;20.3217490407317
53.815;85.295;100.6525;20.99;12.5;28.2;65.23;40.6;94.3;7572.23;0.91;0;27.89;56.79;90.9575;102.005;40;20.99;3.70459870321007;20.6581019907329
105.335;94.1725;99.77;19.36;14.2;24.1;80.17;62.6;94.4;3775.52;0.75;6;0;53.815;85.295;100.6525;41;19.36;3.76301015071374;20.9868095519609
109.8675;92.1375;98.845;20.69;15.4;28.6;78.72;43.7;96.2;6581.35;0.75;3.7;6;105.335;94.1725;99.77;42;20.69;3.82403734620762;21.3161024612705
108.72;88.7125;97.7175;21.11;14.7;27.6;73.62;46.7;96.7;6709.98;0.91;0.3;3.7;109.8675;92.1375;98.845;43;21.11;3.88708222889843;21.6435330331641
95.6425;84.26;96.4925;19.34;14.7;25.7;78.37;54.9;94.2;4332.38;0.88;1.4;0.3;108.72;88.7125;97.7175;44;19.34;3.94795192264328;21.962781217404
