"nFK_0010";"nFK_1020";"nFK_2030";"nFK_3040";"nFK_4050";"nFK_5060";"nFK_0010_Vortag";"nFK_1020_Vortag";"nFK_2030_Vortag";"nFK_3040_Vortag";"nFK_4050_Vortag";"nFK_5060_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
95.58;98.54;100.03;102.99;100.62;99.74;91.58;97.26;100.09;105.77;101.15;99.37;36;13.55;13.55;12.3;15.1;91.07;85;96.8;1547.03;0.67;15.09;15.09;323.76;216.12;162628.65;40.6;508.77;273.3;20;30;50;1.2;2.9316632666764;16.7247277964287;7.2
107.87;104.33;102.55;99.01;100.2;99.62;95.58;98.54;100.03;102.99;100.62;99.74;37;14.16;14.16;8.9;19;72.26;46.9;89.2;4529.52;1.27;15.14;15.14;337.92;230.28;167158.17;40.6;523.91;288.44;20;30;50;1.2;3.07148445482411;17.137859136043;4
99.35;99.57;99.69;99.91;99.71;99.63;107.87;104.33;102.55;99.01;100.2;99.62;38;12.87;12.87;5.7;19.9;72;42.4;95.6;5750.65;1.12;15.19;15.19;350.79;243.16;172908.83;40.6;539.1;303.63;20;30;50;1.2;3.20462508246971;17.4993120825668;0
88.57;93.37;95.78;100.58;98.95;99.73;99.35;99.57;99.69;99.91;99.71;99.63;39;13.05;13.05;7.1;19.3;68.93;45;88.4;5428.4;1.02;15.24;15.24;363.84;256.21;178337.22;40.9;554.34;318.87;20;30;50;1.2;3.32867131221719;17.8228178142124;0
78.38;87.24;91.68;100.54;98.05;99.99;88.57;93.37;95.78;100.58;98.95;99.73;40;11.9;11.9;9.2;14.9;75.43;56.3;90.8;3189.2;1.54;15.28;15.28;375.74;268.1;181526.42;42.9;569.62;334.15;20;30;50;1.2;3.44189265216757;18.1222391439829;0.3
128.55;111.83;103.47;86.75;97.52;99.94;78.38;87.24;91.68;100.54;98.05;99.99;41;11.68;11.68;6.9;18.6;80.23;47.3;95.7;4802.18;1.35;15.33;15.33;387.43;279.79;186328.6;49.5;584.95;349.48;20;30;50;1.2;3.54324195591884;18.4115705196721;15.33
134.29;119.77;112.52;98;100.69;96.11;128.55;111.83;103.47;86.75;97.52;99.94;42;11.93;11.93;8.8;16.4;80.68;62.9;95.5;3797.85;1.57;15.37;15.37;399.36;291.72;190126.45;54.2;600.32;364.85;20;30;50;1.2;3.63465818453105;18.721667827053;6.6
120.64;120.22;120;119.58;105.56;91.32;134.29;119.77;112.52;98;100.69;96.11;43;11.67;11.67;8.1;16.5;77.5;57.3;92.7;4489.98;1.55;15.42;15.42;411.03;303.39;194616.42;55;615.74;380.27;20;30;50;1.2;3.71530950161371;19.0584238819068;4.7
111.41;112.23;112.63;113.45;103.98;94.92;120.64;120.22;120;119.58;105.56;91.32;44;11.75;11.75;5.6;17.6;73.71;47.3;95.5;5832.42;1.43;15.46;15.46;422.78;315.14;200448.85;56.5;631.2;395.73;20;30;50;1.2;3.78393539874327;19.4197842127533;0.8
104.25;106.21;107.2;109.16;102.98;97.78;111.41;112.23;112.63;113.45;103.98;94.92;45;13.18;13.18;8.1;17.7;68.84;48.9;93.1;4335.35;1.01;15.5;15.5;435.96;328.32;204784.2;56.5;646.7;411.23;20;30;50;1.2;3.84153188668758;19.7879840271676;1.5
92.24;98.06;100.96;106.78;101.85;99.83;104.25;106.21;107.2;109.16;102.98;97.78;46;13.87;13.87;8.6;18.1;62.95;41.3;89.2;5263.5;2.06;15.54;15.54;449.83;342.2;210047.7;59.2;662.24;426.77;20;30;50;1.2;3.8897384503865;20.1551232560909;0
79.26;89.34;94.38;104.46;100.19;100.97;92.24;98.06;100.96;106.78;101.85;99.83;47;12.23;12.23;8.5;16.9;69.96;49.5;92.3;4715.12;2.47;15.59;15.59;462.06;354.42;214762.83;60.4;677.83;442.36;20;30;50;1.2;3.93130832273871;20.5157103001032;2.7
67.26;81.06;87.96;101.76;98.35;101.83;79.26;89.34;94.38;104.46;100.19;100.97;48;12.2;12.2;7.5;17.6;67.03;43.8;87.9;4898.05;1.86;15.62;15.62;474.26;366.62;219660.88;60.4;693.45;457.98;20;30;50;1.2;3.97015474103988;20.8659286274173;1.2
58.63;74.67;82.69;98.73;96.56;102.4;67.26;81.06;87.96;101.76;98.35;101.83;49;11.86;11.86;5;20.2;73.58;35.9;92.2;4898.45;1.3;15.66;15.66;486.12;378.48;224559.33;61.9;709.11;473.64;20;30;50;1.2;4.00547928445158;21.1935912817363;0
54.65;71.57;80.03;96.95;95.35;102.21;58.63;74.67;82.69;98.73;96.56;102.4;50;10.32;10.32;8.3;14.7;77.5;55;88.4;2502.93;2.26;15.7;15.7;496.43;388.8;227062.25;64.1;724.81;489.34;20;30;50;1.2;4.03371636640871;21.4759033752078;1.5
137.89;116.59;105.95;84.65;97.27;99.23;54.65;71.57;80.03;96.95;95.35;102.21;51;10.68;10.68;6.9;14.6;84.31;61.8;93.2;2876.4;1.31;15.74;15.74;507.11;399.47;229938.65;69.4;740.55;505.08;20;30;50;1.2;4.05710830883038;21.7261819695122;24.73
90.26;92.36;93.42;95.52;95.14;95.82;91.08;92.96;93.9;95.78;95.37;95.91;12;8.08;0;2.6;13.2;58.52;36;86.4;4816.3;1.32;13.77;0;70.23;9.67;44688.12;10;161.27;13.35;20;30;50;1.2;0.170194558812077;10.6222391782658;0
89.49;91.87;93.07;95.45;95.05;95.83;90.26;92.36;93.42;95.52;95.14;95.82;13;8.6;0;7.5;12;73.06;56.7;89.8;1204.15;0.81;13.83;0;78.84;9.67;45892.28;12.2;175.1;13.35;20;30;50;1.2;0.180321360666926;10.7345398261166;0
89.14;91.56;92.76;95.18;94.87;95.77;89.49;91.87;93.07;95.45;95.05;95.83;14;10.03;10.03;5.8;14.7;75.82;52.7;94.7;2698.85;0.63;13.89;13.89;88.87;19.7;48591.12;12.6;188.99;27.24;20;30;50;1.2;0.198911459855142;10.9077217914262;2.2
