"T0020_nFK";"T2040_nFK";"T4060_nFK";"T0020_nFK_Vortag";"T2040_nFK_Vortag";"T4060_nFK_Vortag";"tage_seit_aussaat";"bodensaugspannung_0020_hPa";"bodensaugspannung_2040_hPa";"bodensaugspannung_4060_hPa";"pf_0020";"pf_2040";"pf_4060";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
90.97;98.18;99.34;99.46;99.8;99.67;39;103.94;69.76;65.43;2.02;1.84;1.82;13.05;13.05;7.1;19.3;68.93;45;88.4;5428.4;1.02;15.24;15.24;363.84;256.21;178337.22;40.9;554.34;318.87;20;30;50;1.2;3.12923076923077;17.34;0
82.81;96.11;99.02;90.97;98.18;99.34;40;163.15;78.23;66.6;2.21;1.89;1.82;11.9;11.9;9.2;14.9;75.43;56.3;90.8;3189.2;1.54;15.28;15.28;375.74;268.1;181526.42;42.9;569.62;334.15;20;30;50;1.2;3.25846153846154;17.655;0.3
120.19;95.11;98.73;82.81;96.11;99.02;41;20.67;82.68;67.68;1.32;1.92;1.83;11.68;11.68;6.9;18.6;80.23;47.3;95.7;4802.18;1.35;15.33;15.33;387.43;279.79;186328.6;49.5;584.95;349.48;20;30;50;1.2;3.38769230769231;17.97;15.33
127.03;105.26;98.4;120.19;95.11;98.73;42;14.17;47.17;68.93;1.15;1.67;1.84;11.93;11.93;8.8;16.4;80.68;62.9;95.5;3797.85;1.57;15.37;15.37;399.36;291.72;190126.45;54.2;600.32;364.85;20;30;50;1.2;3.51692307692308;18.285;6.6
120.43;119.79;98.44;127.03;105.26;98.4;43;20.4;21.14;68.76;1.31;1.33;1.84;11.67;11.67;8.1;16.5;77.5;57.3;92.7;4489.98;1.55;15.42;15.42;411.03;303.39;194616.42;55;615.74;380.27;20;30;50;1.2;3.59410256410256;18.5138461538462;4.7
111.82;113.04;99.45;120.43;119.79;98.44;44;32.83;30.69;65.06;1.52;1.49;1.81;11.75;11.75;5.6;17.6;73.71;47.3;95.5;5832.42;1.43;15.46;15.46;422.78;315.14;200448.85;56.5;631.2;395.73;20;30;50;1.2;3.64525641025641;18.6996153846154;0.8
105.23;108.18;100.38;111.82;113.04;99.45;45;47.27;40.16;61.79;1.67;1.6;1.79;13.18;13.18;8.1;17.7;68.84;48.9;93.1;4335.35;1.01;15.5;15.5;435.96;328.32;204784.2;56.5;646.7;411.23;20;30;50;1.2;3.69641025641026;18.8853846153846;1.5
95.15;103.87;100.84;105.23;108.18;100.38;46;82.49;50.94;60.22;1.92;1.71;1.78;13.87;13.87;8.6;18.1;62.95;41.3;89.2;5263.5;2.06;15.54;15.54;449.83;342.2;210047.7;59.2;662.24;426.77;20;30;50;1.2;3.7475641025641;19.0711538461538;0
84.3;99.42;100.58;95.15;103.87;100.84;47;150.21;65.16;61.11;2.18;1.81;1.79;12.23;12.23;8.5;16.9;69.96;49.5;92.3;4715.12;2.47;15.59;15.59;462.06;354.42;214762.83;60.4;677.83;442.36;20;30;50;1.2;3.8;19.4915384615385;2.7
74.16;94.86;100.09;84.3;99.42;100.58;48;263.09;83.81;62.79;2.42;1.92;1.8;12.2;12.2;7.5;17.6;67.03;43.8;87.9;4898.05;1.86;15.62;15.62;474.26;366.62;219660.88;60.4;693.45;457.98;20;30;50;1.2;3.8525;19.9236538461538;1.2
66.65;90.71;99.48;74.16;94.86;100.09;49;398.48;105.45;64.94;2.6;2.02;1.81;11.86;11.86;5;20.2;73.58;35.9;92.2;4898.45;1.3;15.66;15.66;486.12;378.48;224559.33;61.9;709.11;473.64;20;30;50;1.2;3.905;20.3557692307692;0
