"nFK_0010";"nFK_1020";"nFK_2030";"nFK_3040";"nFK_4050";"nFK_5060";"nFK_0010_Vortag";"nFK_1020_Vortag";"nFK_2030_Vortag";"nFK_3040_Vortag";"nFK_4050_Vortag";"nFK_5060_Vortag";"tage_seit_aussaat";"Tmean_gradC";"Tmean_th9_25_gradC";"Tmin_gradC";"Tmax_gradC";"relLuftfeuchte_mean_prozent";"relLuftfeuchte_min_prozent";"relLuftfeuchte_max_prozent";"globalstrahlung_Wh_m2";"windgeschwindigkeit_m_s";"tageslicht_h";"tageslicht_h_th9";"Tmean_gradC_sum";"Tmean_th9_25_gradC_sum";"globalstrahlung_Wh_m2_sum";"niederschlag_mm_sum";"tageslicht_h_sum";"tageslicht_h_th9_sum";"Ton_prozent";"Schluff_prozent";"Sand_prozent";"C_org_prozent";"ibi";"irmi";"wasser_input_Vortag"
63.33;73.98;79.3025;89.9525;83.3825;82.1275;76.8225;80.5825;82.46;86.22;83.37;82.395;32;24.15;24.15;15.7;32;55.26;35.6;80.8;6095.5;0.94;13.82;13.82;745.94;740.71;189578.88;5.6;469.35;469.35;20;30;50;1.2;2.95588709677419;19.7075;0
98.075;93.735;91.565;87.225;84.855;80.305;63.33;73.98;79.3025;89.9525;83.3825;82.1275;33;23.54;23.54;17.3;30.4;64.42;47.3;79.8;4972.1;1.84;13.76;13.76;769.49;764.25;194550.98;5.6;483.11;483.11;20;30;50;1.2;3.14481182795699;19.9641666666667;25.15
100.36;90.3;85.2766666666667;75.2166666666667;79.7833333333333;79.3233333333333;98.075;93.735;91.565;87.225;84.855;80.305;34;20.91;20.91;18.6;23.9;72.59;63;78.8;4070.45;2.77;13.7;13.7;790.39;785.16;198621.42;5.6;496.81;496.81;20;30;50;1.2;3.32227822580645;20.2194556451613;0
86.0466666666667;82.26;80.3666666666667;76.58;79.1333333333333;79.7933333333333;100.36;90.3;85.2766666666667;75.2166666666667;79.7833333333333;79.3233333333333;35;21.96;21.96;17.1;27.8;55.06;37.4;74.7;4365.45;1.25;13.64;13.64;812.35;807.12;202986.88;5.6;510.45;510.45;20;30;50;1.2;3.44703629032258;20.4684072580645;0
70.99;73.6233333333333;74.9433333333333;77.5766666666667;78.3166666666667;80.3766666666667;86.0466666666667;82.26;80.3666666666667;76.58;79.1333333333333;79.7933333333333;36;20.37;20.37;12.2;28.4;52.41;34.1;76.2;5848.3;0.89;13.58;13.58;832.72;827.48;208835.17;5.6;524.03;524.03;20;30;50;1.2;3.57179435483871;20.7173588709677;0
109.61;96.7166666666667;90.27;77.3766666666667;80.7233333333333;77.6233333333333;70.99;73.6233333333333;74.9433333333333;77.5766666666667;78.3166666666667;80.3766666666667;37;21.97;21.97;11.9;30.2;49.48;28.9;79.1;5474.58;0.96;13.52;13.52;854.69;849.46;214309.75;5.6;537.55;537.55;20;30;50;1.2;3.69655241935484;20.966310483871;27.775
107.196666666667;96.7833333333333;91.5733333333333;81.16;81.4833333333333;76.6033333333333;109.61;96.7166666666667;90.27;77.3766666666667;80.7233333333333;77.6233333333333;38;20.64;20.64;16;24.6;60.69;46.2;83.4;2664.65;0.92;13.46;13.46;875.34;870.1;216974.4;6.8;551.01;551.01;20;30;50;1.2;3.82131048387097;21.2152620967742;0
98.48;91.1866666666667;87.5466666666667;80.2533333333333;80.6966666666667;77.4966666666667;107.196666666667;96.7833333333333;91.5733333333333;81.16;81.4833333333333;76.6033333333333;39;19.51;19.51;12;25.4;59.71;38.7;88.9;4033.57;1.04;13.4;13.4;894.84;889.61;221007.98;6.8;564.41;564.41;20;30;50;1.2;3.89201612903226;21.4581451612903;1.2
86.4166666666667;83.3833333333333;81.8633333333333;78.83;79.4133333333333;78.48;98.48;91.1866666666667;87.5466666666667;80.2533333333333;80.6966666666667;77.4966666666667;40;20.35;20.35;11.6;25.9;47.65;31.2;78.4;5878.68;1.36;13.34;13.34;915.19;909.96;226886.65;6.8;577.75;577.75;20;30;50;1.2;3.94470430107527;21.6990053763441;0
127.956666666667;106.59;95.91;74.5433333333333;80.9166666666667;76.61;86.4166666666667;83.3833333333333;81.8633333333333;78.83;79.4133333333333;78.48;41;17.89;17.89;13.9;22.9;69.39;44.7;93.4;2541.35;1.04;13.28;13.28;933.08;927.84;229428;8.1;591.03;591.03;20;30;50;1.2;3.99739247311828;21.9398655913979;21.075
114.823333333333;102.523333333333;96.3733333333333;84.0733333333333;82.62;75.0133333333333;127.956666666667;106.59;95.91;74.5433333333333;80.9166666666667;76.61;42;19.49;19.49;13.4;28.1;77.55;43.6;95;4075.6;0.43;13.22;13.22;952.57;947.33;233503.6;8.1;604.25;604.25;20;30;50;1.2;4.04758064516129;22.1975;1.3
103.273333333333;95.1133333333333;91.0333333333333;82.8733333333333;81.5333333333333;76.1066666666667;114.823333333333;102.523333333333;96.3733333333333;84.0733333333333;82.62;75.0133333333333;43;21.4;21.4;12;30.9;62.5;28.6;94.9;5779.88;0.65;13.16;13.16;973.97;968.74;239283.48;8.1;617.41;617.41;20;30;50;1.2;4.09443548387097;22.4775;0
